100.00%,2.8920,1.02
         1724893 function calls (1534447 primitive calls) in 1.454 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9486    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
       65    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
       19    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      470    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     2702    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
        1    0.000    0.000    0.002    0.002 panel.py:1(<module>)
1344/1313    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFF1F405720}
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dumper.py:1(<module>)
       46    0.000    0.000    0.002    0.000 typing.py:514(__getitem__)
     1002    0.001    0.000    0.002    0.000 constructor.py:67(construct_object)
       46    0.000    0.000    0.002    0.000 typing.py:746(Literal)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1054(source_to_code)
      578    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
      236    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      429    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      605    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      648    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      361    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
       94    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
       15    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
      355    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
     3951    0.001    0.000    0.002    0.000 _parser.py:261(get)
        1    0.000    0.000    0.002    0.002 _wrap.py:1(<module>)
     7954    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       87    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      500    0.000    0.000    0.002    0.000 wordle.py:18(restart_game)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1299(_determine_new_args)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1207(_cache_bytecode)
    45/12    0.000    0.000    0.002    0.000 typing.py:1328(_make_substitution)
     1002    0.001    0.000    0.002    0.000 resolver.py:143(resolve)
        1    0.000    0.000    0.002    0.002 constructor.py:171(SafeConstructor)
        1    0.000    0.000    0.002    0.002 _palettes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1212(set_data)
        7    0.000    0.000    0.002    0.000 dataclasses.py:568(_init_fn)
     3478    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:195(_write_atomic)
        1    0.000    0.000    0.002    0.002 _win32_console.py:1(<module>)
      501    0.001    0.000    0.002    0.000 random.py:341(choice)
     9026    0.002    0.000    0.002    0.000 scanner.py:264(next_possible_simple_key)
       17    0.000    0.000    0.002    0.000 _make.py:1841(_make_eq)
        6    0.000    0.000    0.002    0.000 enum.py:528(__new__)
     1008    0.000    0.000    0.002    0.000 scanner.py:125(peek_token)
        1    0.000    0.000    0.002    0.002 configparser.py:541(RawConfigParser)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
     6559    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
       19    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
      525    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       16    0.000    0.000    0.001    0.000 _make.py:350(_make_attr_tuple_class)
       15    0.000    0.000    0.001    0.000 _make.py:1088(add_init)
     4394    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       44    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
     2813    0.001    0.000    0.001    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
       14    0.000    0.000    0.001    0.000 _make.py:1135(add_eq)
        1    0.000    0.000    0.001    0.001 measure.py:1(<module>)
      150    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
        5    0.000    0.000    0.001    0.000 _make.py:1950(_make_repr)
      255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
     1000    0.000    0.000    0.001    0.000 constructor.py:402(construct_yaml_str)
       15    0.000    0.000    0.001    0.000 _make.py:2113(_make_init)
       28    0.001    0.000    0.001    0.000 inspect.py:875(cleandoc)
      815    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.001    0.001 console.py:593(Console)
     1000    0.001    0.000    0.001    0.000 scanner.py:690(check_document_start)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 palette.py:1(<module>)
  484/129    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
     4750    0.001    0.000    0.001    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.001    0.001 cells.py:1(<module>)
       16    0.000    0.000    0.001    0.000 _make.py:1743(_make_hash)
        1    0.000    0.000    0.001    0.001 markup.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
       19    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
     1000    0.001    0.000    0.001    0.000 constructor.py:173(construct_scalar)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
