100.00%,2.8920,1.02
         1724893 function calls (1534447 primitive calls) in 1.454 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1674(__init__)
       60    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        6    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        2    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        1    0.000    0.000    0.000    0.000 console.py:376(PagerContext)
        1    0.000    0.000    0.000    0.000 composer.py:1(<module>)
       54    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        2    0.000    0.000    0.000    0.000 reader.py:138(check_printable)
       31    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
        3    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 highlighter.py:17(Highlighter)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 serializer.py:1(<module>)
      108    0.000    0.000    0.000    0.000 _make.py:1246(decide_callable_or_boolean)
        2    0.000    0.000    0.000    0.000 scanner.py:48(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 game.py:13(enablePrint)
        1    0.000    0.000    0.000    0.000 _next_gen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 screen.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        3    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      393    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       32    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 locale.py:347(_replace_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       77    0.000    0.000    0.000    0.000 guesser.py:263(<lambda>)
        2    0.000    0.000    0.000    0.000 <frozen os>:694(__delitem__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:589(_register_types)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
        1    0.000    0.000    0.000    0.000 core.py:3127(view)
       15    0.000    0.000    0.000    0.000 _make.py:1108(add_match_args)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        2    0.000    0.000    0.000    0.000 parser.py:127(parse_stream_start)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:396(__getitem__)
        1    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       42    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 console.py:556(RenderHook)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        7    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
      103    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      102    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 console.py:304(ScreenUpdate)
        1    0.000    0.000    0.000    0.000 validators.py:609(_NotValidator)
       60    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
        6    0.000    0.000    0.000    0.000 typing.py:2112(runtime_checkable)
       49    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 styled.py:1(<module>)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
        1    0.000    0.000    0.000    0.000 fractions.py:162(Fraction)
       51    0.000    0.000    0.000    0.000 _make.py:2527(_default_init_alias_for)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:65(_DTypeDictBase)
        5    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        2    0.000    0.000    0.000    0.000 contextlib.py:77(__call__)
      345    0.000    0.000    0.000    0.000 contextlib.py:446(__exit__)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
      102    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 linalg.py:97(_determine_error_states)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       24    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       14    0.000    0.000    0.000    0.000 _make.py:1031(_make_getstate_setstate)
        1    0.000    0.000    0.000    0.000 core.py:6568(__array_finalize__)
        6    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.000    0.000 _version_info.py:10(VersionInfo)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 random.py:126(__init__)
        3    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
       14    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
        3    0.000    0.000    0.000    0.000 repr.py:114(rich_repr)
        1    0.000    0.000    0.000    0.000 __init__.py:1293(__init__)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        2    0.000    0.000    0.000    0.000 {built-in method nt.unsetenv}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      345    0.000    0.000    0.000    0.000 contextlib.py:443(__enter__)
       25    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       28    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
      102    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        1    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:71(_DTypeDict)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        3    0.000    0.000    0.000    0.000 argparse.py:1875(_add_action)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        2    0.000    0.000    0.000    0.000 scanner.py:359(fetch_stream_start)
        7    0.000    0.000    0.000    0.000 getlimits.py:685(__init__)
       14    0.000    0.000    0.000    0.000 _make.py:1881(_make_order)
        3    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        1    0.000    0.000    0.000    0.000 validators.py:91(_InstanceOfValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
        3    0.000    0.000    0.000    0.000 repr.py:37(auto)
        1    0.000    0.000    0.000    0.000 validators.py:411(_DeepMapping)
       49    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       25    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 validators.py:365(_DeepIterable)
      252    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.000    0.000 core.py:6744(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1276(IPv4Address)
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       61    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
        1    0.000    0.000    0.000    0.000 random.py:135(seed)
        3    0.000    0.000    0.000    0.000 argparse.py:1696(_add_action)
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
        2    0.000    0.000    0.000    0.000 scanner.py:371(fetch_stream_end)
        2    0.000    0.000    0.000    0.000 console.py:930(is_terminal)
       37    0.000    0.000    0.000    0.000 argparse.py:1417(register)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 terminal_theme.py:20(__init__)
       55    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 _windows.py:40(get_windows_console_features)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:1129(_Unpickler)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1851(_split_scope_id)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
      104    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
      129    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 :1(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:605(_format_args)
       78    0.000    0.000    0.000    0.000 _internal.py:883(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
       14    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       35    0.000    0.000    0.000    0.000 <frozen os>:748(check_str)
       11    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 linalg.py:55(SVDResult)
        1    0.000    0.000    0.000    0.000 representer.py:134(SafeRepresenter)
       89    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 pathlib.py:292(PurePath)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _make.py:3049(_AndValidator)
        3    0.000    0.000    0.000    0.000 argparse.py:1587(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 console.py:791(_detect_color_system)
      117    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       60    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
        3    0.000    0.000    0.000    0.000 argparse.py:1507(_add_action)
      136    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       25    0.000    0.000    0.000    0.000 constructor.py:159(add_constructor)
        2    0.000    0.000    0.000    0.000 core.py:2952(_update_from)
        6    0.000    0.000    0.000    0.000 typing.py:2476(overload)
       75    0.000    0.000    0.000    0.000 _make.py:1280(_determine_whether_to_implement)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000017B8529B4C0}
        4    0.000    0.000    0.000    0.000 warnings.py:182(_add_filter)
        1    0.000    0.000    0.000    0.000 wordle.py:14(__init__)
        1    0.000    0.000    0.000    0.000 validators.py:450(_NumberValidator)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
       21    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1880(IPv6Address)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 linalg.py:39(EigResult)
        3    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 constructor.py:19(BaseConstructor)
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        1    0.000    0.000    0.000    0.000 linalg.py:43(EighResult)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        3    0.000    0.000    0.000    0.000 repr.py:42(do_replace)
       62    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       38    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       55    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       55    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
        1    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        1    0.000    0.000    0.000    0.000 validators.py:133(_MatchesReValidator)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 legendre.py:1619(Legendre)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1650(HermiteE)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
      113    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 hermite.py:1658(Hermite)
       77    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 _funcs.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        1    0.000    0.000    0.000    0.000 linalg.py:47(QRResult)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
       60    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        1    0.000    0.000    0.000    0.000 _make.py:831(_patch_original_class)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_missing_ctypes)
        8    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 laguerre.py:1606(Laguerre)
        1    0.000    0.000    0.000    0.000 argparse.py:1176(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 linalg.py:51(SlogdetResult)
       20    0.000    0.000    0.000    0.000 typing.py:1542(<genexpr>)
       54    0.000    0.000    0.000    0.000 _make.py:1744(<genexpr>)
        2    0.000    0.000    0.000    0.000 parser.py:159(parse_document_start)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 measure.py:11(Measurement)
        1    0.000    0.000    0.000    0.000 argparse.py:2499(_get_values)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:268(basename)
        1    0.000    0.000    0.000    0.000 defchararray.py:1922(chararray)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
        1    0.000    0.000    0.000    0.000 scanner.py:46(Scanner)
        1    0.000    0.000    0.000    0.000 numeric.py:136(ones)
        1    0.000    0.000    0.000    0.000 pathlib.py:824(Path)
       39    0.000    0.000    0.000    0.000 _make.py:1955(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        7    0.000    0.000    0.000    0.000 core.py:2544(_arraymethod)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:596(abspath)
        2    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 filters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:401(_Pickler)
        2    0.000    0.000    0.000    0.000 parser.py:190(parse_document_end)
        2    0.000    0.000    0.000    0.000 parser.py:81(__init__)
        1    0.000    0.000    0.000    0.000 platform.py:847(uname_result)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1577(_BaseV6)
        1    0.000    0.000    0.000    0.000 screen.py:18(Screen)
        1    0.000    0.000    0.000    0.000 polynomial.py:1077(poly1d)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        1    0.000    0.000    0.000    0.000 functools.py:651(cache)
        2    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        1    0.000    0.000    0.000    0.000 table.py:132(Row)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
       33    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
        2    0.000    0.000    0.000    0.000 constructor.py:24(__init__)
        1    0.000    0.000    0.000    0.000 padding.py:19(Padding)
        1    0.000    0.000    0.000    0.000 validators.py:200(_ProvidesValidator)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       60    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
        4    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       19    0.000    0.000    0.000    0.000 representer.py:65(add_representer)
        6    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 warnings.py:166(simplefilter)
        7    0.000    0.000    0.000    0.000 fractions.py:533(_operator_fallbacks)
        4    0.000    0.000    0.000    0.000 threading.py:124(RLock)
        1    0.000    0.000    0.000    0.000 __init__.py:1482(Logger)
       13    0.000    0.000    0.000    0.000 _internal.py:920(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       25    0.000    0.000    0.000    0.000 enum.py:1292(value)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
       31    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       15    0.000    0.000    0.000    0.000 _make.py:466(_collect_base_attrs_broken)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        1    0.000    0.000    0.000    0.000 random.py:889(getrandbits)
        1    0.000    0.000    0.000    0.000 validators.py:250(_OptionalValidator)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       22    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:151(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:442(LibraryLoader)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:441(_setdef)
       62    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
       19    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 console.py:415(ScreenContext)
       40    0.000    0.000    0.000    0.000 _make.py:576(<genexpr>)
        1    0.000    0.000    0.000    0.000 validators.py:516(_MaxLengthValidator)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
       15    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       40    0.000    0.000    0.000    0.000 _make.py:1109(<genexpr>)
       68    0.000    0.000    0.000    0.000 __init__.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.000    0.000 __init__.py:1353(Manager)
        1    0.000    0.000    0.000    0.000 _cmp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1460(IPv4Network)
        4    0.000    0.000    0.000    0.000 typing.py:1554(<genexpr>)
        1    0.000    0.000    0.000    0.000 validators.py:283(_InValidator)
        1    0.000    0.000    0.000    0.000 _win32_console.py:95(GetConsoleMode)
        1    0.000    0.000    0.000    0.000 __init__.py:362(YAMLObject)
        1    0.000    0.000    0.000    0.000 index_tricks.py:310(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
        1    0.000    0.000    0.000    0.000 validators.py:394(deep_iterable)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
        6    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        1    0.000    0.000    0.000    0.000 parse.py:152(_NetlocResultMixinBase)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       40    0.000    0.000    0.000    0.000 _make.py:738(<genexpr>)
        1    0.000    0.000    0.000    0.000 validators.py:572(_SubclassOfValidator)
       15    0.000    0.000    0.000    0.000 _make.py:1155(add_setattr)
        1    0.000    0.000    0.000    0.000 protocol.py:1(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:845(__init__)
        4    0.000    0.000    0.000    0.000 getlimits.py:709(max)
        1    0.000    0.000    0.000    0.000 _win32_console.py:331(LegacyWindowsTerm)
        5    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
       42    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        3    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 inspect.py:2712(__init__)
       62    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        1    0.000    0.000    0.000    0.000 validators.py:544(_MinLengthValidator)
        1    0.000    0.000    0.000    0.000 argparse.py:2098(consume_positionals)
       41    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       39    0.000    0.000    0.000    0.000 _make.py:1036(<genexpr>)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:1621(_pop_action_class)
        1    0.000    0.000    0.000    0.000 _win32_console.py:78(GetStdHandle)
        1    0.000    0.000    0.000    0.000 __init__.py:1867(__init__)
        1    0.000    0.000    0.000    0.000 resolver.py:12(BaseResolver)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1135(_BaseV4)
       19    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 inspect.py:2998(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 :1(_AttributesAttributes)
       31    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       30    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       15    0.000    0.000    0.000    0.000 typing.py:2846(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 representer.py:13(BaseRepresenter)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:388(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
        1    0.000    0.000    0.000    0.000 _pick.py:1(<module>)
        1    0.000    0.000    0.000    0.000 jupyter.py:36(JupyterMixin)
        1    0.000    0.000    0.000    0.000 _make.py:681(_ClassBuilder)
       25    0.000    0.000    0.000    0.000 _make.py:546(<lambda>)
        1    0.000    0.000    0.000    0.000 console.py:322(Capture)
        5    0.000    0.000    0.000    0.000 validators.py:350(is_callable)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       31    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
       15    0.000    0.000    0.000    0.000 _make.py:1209(_determine_attrs_eq_order)
        1    0.000    0.000    0.000    0.000 core.py:1125(_DomainedBinaryOperation)
        1    0.000    0.000    0.000    0.000 markup.py:20(Tag)
        1    0.000    0.000    0.000    0.000 constructor.py:482(FullConstructor)
        1    0.000    0.000    0.000    0.000 _compat.py:42(get_first_param_type)
        3    0.000    0.000    0.000    0.000 argparse.py:1625(_get_handler)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._DeepIterable>:1(__init__)
        4    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
        1    0.000    0.000    0.000    0.000 align.py:234(VerticalCenter)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
        7    0.000    0.000    0.000    0.000 argparse.py:1421(_registry_get)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_getintp_ctype)
       10    0.000    0.000    0.000    0.000 _make.py:1725(_has_frozen_base_class)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        5    0.000    0.000    0.000    0.000 constructor.py:165(add_multi_constructor)
       17    0.000    0.000    0.000    0.000 _make.py:1822(_make_ne)
       13    0.000    0.000    0.000    0.000 _make.py:2211(_assign)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2098(IPv6Interface)
       24    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        6    0.000    0.000    0.000    0.000 typing.py:1070(<genexpr>)
       23    0.000    0.000    0.000    0.000 overrides.py:173(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 argparse.py:1009(__init__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        1    0.000    0.000    0.000    0.000 console.py:517(_is_jupyter)
        1    0.000    0.000    0.000    0.000 console.py:547(ConsoleThreadLocals)
        1    0.000    0.000    0.000    0.000 _ratio.py:12(Edge)
